adAuthorization,adLabelVersion,author_commentSetting,author_downloadSetting,author_ftc,author_id,author_isADVirtual,author_isEmbedBanned,author_nickname,author_openFavorite,author_privateAccount,author_relation,author_secUid,author_secret,author_signature,author_stitchSetting,author_ttSeller,author_uniqueId,author_verified,authorStats_diggCount,authorStats_followerCount,authorStats_followingCount,authorStats_heart,authorStats_heartCount,authorStats_videoCount,collected,contents_0_desc,contents_1_desc,createTime,desc,digged,diversificationId,forFriend,id,isAd,itemMute,music_album,music_authorName,music_duration,music_id,music_original,music_title,officalItem,originalItem,playlistId,privateItem,secret,shareEnabled,showNotPass,stats_collectCount,stats_commentCount,stats_diggCount,stats_playCount,stats_shareCount,stitchDisplay,stitchEnabled,video_bitrate,video_bitrateInfo_0_Bitrate,video_bitrateInfo_0_CodecType,video_bitrateInfo_0_GearName,video_bitrateInfo_0_QualityType,video_bitrateInfo_1_Bitrate,video_bitrateInfo_1_CodecType,video_bitrateInfo_1_GearName,video_bitrateInfo_1_QualityType,video_bitrateInfo_2_Bitrate,video_bitrateInfo_2_CodecType,video_bitrateInfo_2_GearName,video_bitrateInfo_2_QualityType,video_codecType,video_definition,video_duration,video_encodeUserTag,video_encodedType,video_format,video_height,video_id,video_ratio,video_size,video_videoQuality,video_volumeInfo_Loudness,video_volumeInfo_Peak,video_width,vl1
FALSE,0,0,0,FALSE,7.20368E+18,FALSE,FALSE,Champagne Rugby,FALSE,FALSE,0,MS4wLjABAAAAxhBLph4TlR_iwcIkKQjKq4eFVCSRJT1RcJbLVDlb3mPzLMxJ6hYQbjqTM7-Wyp1I,FALSE,"All the best rugby content in one place. 
@champagnerugby on IG",0,FALSE,champagne_rugby,FALSE,25,8826,0,394500,394500,144,FALSE,Day for it ,#rugby #rugbyunion #rugbyleague,1683636521,Day for it  #rugby #rugbyunion #rugbyleague,FALSE,10059,FALSE,7.23116E+18,FALSE,FALSE,,Champagne Rugby,48,7.23116E+18,TRUE,original sound,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,11100,704,192100,2000000,1620,0,TRUE,2502236,2502236,h264,normal_540_0,20,1295742,h264,lower_540_0,24,889773,h264,lowest_540_0,25,h264,540p,48,,normal,mp4,1024,7.23116E+18,540p,15117887,normal,-17.8,0.97724,576,FALSE
FALSE,0,0,0,FALSE,6.94544E+18,FALSE,FALSE,ovbs119,FALSE,FALSE,0,MS4wLjABAAAAU0bSqhRVIx5pvQBkFqV94riNT0aP98vR8oQ2UKQOnfH5sKyLLdh7ZAm1fO6kbzRW,FALSE,,0,FALSE,ovbs119,FALSE,21,253300,39,2700000,2700000,712,FALSE,,,1681126648,,FALSE,10000,FALSE,7.22038E+18,FALSE,FALSE,,ovbs119,91,7.22038E+18,TRUE,original sound,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,1730,39,11300,633000,85,0,TRUE,1121910,1121910,h264,normal_720_0,10,1055509,h264,normal_540_0,20,602874,h264,lower_540_0,24,h264,720p,91,,normal,mp4,720,7.22038E+18,720p,12804640,normal,-12.8,1,720,FALSE
FALSE,0,0,0,FALSE,7.19265E+18,FALSE,FALSE,djdtkc6,FALSE,FALSE,0,MS4wLjABAAAAf0Z2YMK4v297fdG40UGEOrF4ofRvyLKB8cYJ8GkauOgpjcFGMA4nObWSwSEEhCwD,FALSE,,0,FALSE,djdtkc6,FALSE,6,374300,11,5200000,5200000,400,FALSE,#foryou #fyp #funny #foryoupage ,,1687698574,#foryou #fyp #funny #foryoupage ,FALSE,10000,FALSE,7.24861E+18,FALSE,FALSE,,djdtkc6,136,7.24861E+18,TRUE,original sound,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,627,37,4422,137900,13,0,TRUE,749744,749744,h264,normal_540_0,20,457544,h264,lower_540_0,24,355557,h264,lowest_540_0,25,h264,540p,136,,normal,mp4,1024,7.24861E+18,540p,12821575,normal,-13.2,0.97724,576,FALSE
FALSE,0,0,0,FALSE,7.23663E+18,FALSE,FALSE,cynthia,FALSE,FALSE,0,MS4wLjABAAAAVX_WD0Cw0vPdXD8DZv6eL2QxJ9C1hqMdkEzYP4yaKbsvaci6Tbh_r4g4ptJKmHEq,FALSE,,0,FALSE,cynthiakk1,FALSE,935,34100,1,7100000,7100000,87,FALSE,#movie #tiktok #fyp ,Beautiful talented lawyer showing off her skills,1686405644,#movie #tiktok #fyp  Beautiful talented lawyer showing off her skills,FALSE,10045,FALSE,7.24306E+18,FALSE,FALSE,,cynthia,118,7.24306E+18,TRUE,原聲,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,145700,2921,2600000,17000000,4653,0,TRUE,1144277,1144277,h264,normal_540_0,20,601109,h264,lower_540_0,24,428022,h264,lowest_540_0,25,h264,540p,118,,normal,mp4,1024,7.24306E+18,540p,16999526,normal,-13.5,1,576,FALSE
FALSE,0,0,0,FALSE,7.11991E+18,FALSE,FALSE,all_join,FALSE,FALSE,0,MS4wLjABAAAAc0oahk4npA2EHEtQYpfKM2jwmEmFamjwxn0Rmsh_rbtiKUA_s7nelcIlnWCcZNax,FALSE,please follow for more videos 🥰,1,FALSE,under_ground6,FALSE,133,2111,11,237100,237100,23,FALSE,Bagel Head Modifcation. #shorts #fyppppppppppppppppppppppp #tiktok ,,1687554238,Bagel Head Modifcation. #shorts #fyppppppppppppppppppppppp #tiktok ,FALSE,10096,FALSE,7.24799E+18,FALSE,FALSE,,all_join,28,7.24799E+18,TRUE,original sound,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,14100,1876,235200,3700000,1884,0,TRUE,625754,625754,h264,normal_480_0,30,486521,h264,lower_540_0,24,374401,h264,lowest_540_0,25,h264,480p,28,,normal,mp4,854,7.24799E+18,480p,2250370,normal,-21.5,0.72444,480,FALSE
FALSE,0,0,0,FALSE,7.12667E+18,FALSE,FALSE,Kristie and Matthew,FALSE,FALSE,0,MS4wLjABAAAAjWnf4SE02hgTLYNlNHWAawSIQNUPSzLBsKW-68MwssiriMzK715Au0GKSHz3qcD9,FALSE,"♥︎ ✞ 
K + M
two best friends in love
RELATABLE RELATIONSHIP CONTENT
join the fam",0,FALSE,kristieandmatthew,FALSE,640,75100,29,10100000,10100000,135,FALSE,I cannot believe this actually happened 💀 #fail #gymfail #crush #funny #relatable #gymtok ,,1685824548,I cannot believe this actually happened 💀 #fail #gymfail #crush #funny #relatable #gymtok ,FALSE,10003,FALSE,7.24056E+18,FALSE,FALSE,Cold As Ice,Kreepa,166,6.58695E+18,FALSE,Oh No,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,206000,24100,5300000,39700000,69000,0,TRUE,847280,847280,h264,normal_540_0,20,484464,h264,lower_540_0,24,356526,h264,lowest_540_0,25,h264,540p,15,,normal,mp4,1024,7.24056E+18,540p,1640230,normal,-16.6,0.92257,576,FALSE
FALSE,0,0,0,FALSE,7.03383E+18,FALSE,FALSE,steka,TRUE,FALSE,0,MS4wLjABAAAAsHXfhrXyEn75ruXsAnblTy8QdUXXXBQPLfIeBuL4oMO8-NfKVk1geUP5o9DlgyhS,FALSE,play by my own rules,1,FALSE,nickiminajhiphop,FALSE,2844,5594,602,182800,182800,266,FALSE,#ellen show who'd you rather ,,1687718755,#ellen show who'd you rather ,FALSE,10088,FALSE,7.2487E+18,FALSE,FALSE,,steka,95,7.2487E+18,TRUE,original sound,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,1585,101,39900,1800000,103,0,TRUE,148115,148115,h264,normal_480_0,30,118864,h264,lower_540_0,24,98023,h264,lowest_540_0,25,h264,480p,95,,normal,mp4,854,7.2487E+18,480p,1764760,normal,-21.8,0.54954,480,FALSE
FALSE,0,0,0,FALSE,7.16995E+18,FALSE,FALSE,Rr,FALSE,FALSE,0,MS4wLjABAAAAORfnOCSC5tBeE54VnYmu0oTZ0Wc8djh0LuKzS34AvLUx4mE7NRiug05u0y34A9AR,FALSE,Please give me a lot of likes! Please!❤️please❤️,0,FALSE,tomandjerry_ikp,FALSE,204,40400,4,2600000,2600000,268,FALSE,#thereshegoes #lpy11 #foryou #❤️ #movieclips #movie #filmclips #tiktok #fyp #filmtok #moviescenes #foryou #scene ,,1686995647,#thereshegoes #lpy11 #foryou #❤️ #movieclips #movie #filmclips #tiktok #fyp #filmtok #moviescenes #foryou #scene ,FALSE,10045,FALSE,7.24559E+18,FALSE,FALSE,Silent Song,Silent Song,10,6.76771E+18,FALSE,Silent Song,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,15900,599,251000,4600000,180,0,TRUE,545000,545000,h264,normal_540_0,20,314005,h264,lower_540_0,24,239495,h264,lowest_540_0,25,h264,540p,107,,normal,mp4,1024,7.24559E+18,540p,7350830,normal,-18.6,0.91201,576,FALSE
FALSE,0,0,0,FALSE,7.22553E+18,FALSE,FALSE,makingfilm,FALSE,FALSE,0,MS4wLjABAAAAEMVsqUb2aTvKLGGGeJEzh5X2nOiHp6yQnDS5A0VSkAkX5bg9ARCU5oLO7WXIsj4g,FALSE,,0,FALSE,hofilm,FALSE,2,160600,3,3700000,3700000,228,FALSE,PART1☑️#foryou #fyp #moive ,,1687627712,PART1☑️#foryou #fyp #moive ,FALSE,10045,FALSE,7.24831E+18,FALSE,FALSE,,makingfilm,68,7.24831E+18,TRUE,original sound,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,23200,255,173800,3700000,262,0,TRUE,662451,662451,h264,normal_540_0,20,370210,h264,lower_540_0,24,285200,h264,lowest_540_0,25,h264,540p,68,,normal,mp4,1024,7.24831E+18,540p,5675886,normal,-19.5,0.73282,576,FALSE
FALSE,0,0,3,FALSE,1379259,FALSE,FALSE,Lisa,FALSE,FALSE,0,MS4wLjABAAAAZOGgvHKrZaHxBfYmEEVRNTdzq-grjQ0ZfKuHd9oZ4q4,FALSE,,3,FALSE,lisastav,FALSE,16500,1714,485,72800,72800,22,FALSE,Tried to do the karaoke challenge and this is what happened 😂😭 ##karaoke##karaokechallenge##straya##fail,,1680433394,Tried to do the karaoke challenge and this is what happened 😂😭 ##karaoke##karaokechallenge##straya##fail,FALSE,10009,FALSE,7.21741E+18,FALSE,FALSE,,Lisa,35,7.21741E+18,TRUE,original sound,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,8761,424,56300,536500,2591,0,FALSE,1117376,1117376,h264,normal_540_0,20,605950,h264,lower_540_0,24,446712,h264,lowest_540_0,25,h264,540p,35,,normal,mp4,1024,7.21741E+18,540p,4906820,normal,-17.9,0.95499,576,FALSE
